Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.03746045404e+002
+1.01800975118e+003,-1.03823889460e+002
+1.03634385350e+003,-1.04874645840e+002
+1.05500814844e+003,-1.04950598736e+002
+1.07400858268e+003,-1.05575700174e+002
+1.09335121002e+003,-1.03717180505e+002
+1.11304219327e+003,-1.03790978505e+002
+1.13308780622e+003,-1.03470709366e+002
+1.15349443568e+003,-1.04011964542e+002
+1.17426858345e+003,-1.04072438830e+002
+1.19541686846e+003,-1.03510447060e+002
+1.21694602882e+003,-1.02181065617e+002
+1.23886292399e+003,-1.02239709635e+002
+1.26117453700e+003,-1.02322685817e+002
+1.28388797661e+003,-1.03584369090e+002
+1.30701047961e+003,-1.03207274576e+002
+1.33054941314e+003,-1.02361819038e+002
+1.35451227700e+003,-1.02395189644e+002
+1.37890670608e+003,-1.03148683789e+002
+1.40374047276e+003,-1.04781543544e+002
+1.42902148939e+003,-1.03793616060e+002
+1.45475781085e+003,-1.02528710085e+002
+1.48095763705e+003,-1.02640703573e+002
+1.50762931560e+003,-1.01260687878e+002
+1.53478134445e+003,-1.01282464275e+002
+1.56242237458e+003,-1.00054642642e+002
+1.59056121278e+003,-1.02360949138e+002
+1.61920682446e+003,-1.03180251605e+002
+1.64836833648e+003,-1.03457314682e+002
+1.67805504007e+003,-1.03760797783e+002
+1.70827639381e+003,-1.03041123630e+002
+1.73904202661e+003,-1.02083553493e+002
+1.77036174080e+003,-1.01685805056e+002
+1.80224551525e+003,-1.03929399268e+002
+1.83470350855e+003,-1.03842604904e+002
+1.86774606222e+003,-1.04358578842e+002
+1.90138370407e+003,-1.04959443035e+002
+1.93562715148e+003,-1.05954934067e+002
+1.97048731486e+003,-1.05924585433e+002
+2.00597530110e+003,-1.06056382674e+002
+2.04210241715e+003,-1.03052493023e+002
+2.07888017356e+003,-1.04457170519e+002
+2.11632028822e+003,-1.05967963234e+002
+2.15443469003e+003,-1.05547714448e+002
+2.19323552273e+003,-1.04657768479e+002
+2.23273514878e+003,-1.04006681099e+002
+2.27294615326e+003,-1.05230917585e+002
+2.31388134792e+003,-1.07075563470e+002
+2.35555377526e+003,-1.05802201013e+002
+2.39797671264e+003,-1.05120669667e+002
+2.44116367658e+003,-1.05567947368e+002
+2.48512842698e+003,-1.07019569379e+002
+2.52988497160e+003,-1.06101673587e+002
+2.57544757045e+003,-1.07708227260e+002
+2.62183074038e+003,-1.06737959398e+002
+2.66904925965e+003,-1.06188760497e+002
+2.71711817270e+003,-1.06185641846e+002
+2.76605279492e+003,-1.06467840805e+002
+2.81586871751e+003,-1.07970025899e+002
+2.86658181246e+003,-1.08612258839e+002
+2.91820823764e+003,-1.07101291948e+002
+2.97076444190e+003,-1.06607681467e+002
+3.02426717031e+003,-1.06126020468e+002
+3.07873346955e+003,-1.07691439287e+002
+3.13418069329e+003,-1.07741058575e+002
+3.19062650773e+003,-1.07993510201e+002
+3.24808889724e+003,-1.07216535675e+002
+3.30658617009e+003,-1.07547165499e+002
+3.36613696427e+003,-1.08470892557e+002
+3.42676025343e+003,-1.07838924090e+002
+3.48847535295e+003,-1.08631096213e+002
+3.55130192606e+003,-1.07411694650e+002
+3.61525999011e+003,-1.07347561653e+002
+3.68036992298e+003,-1.08130840310e+002
+3.74665246955e+003,-1.08478101132e+002
+3.81412874828e+003,-1.07838720254e+002
+3.88282025801e+003,-1.08317412655e+002
+3.95274888473e+003,-1.08402046696e+002
+4.02393690862e+003,-1.08471549078e+002
+4.09640701111e+003,-1.08445427080e+002
+4.17018228212e+003,-1.07500922065e+002
+4.24528622739e+003,-1.09023155715e+002
+4.32174277604e+003,-1.09246623190e+002
+4.39957628810e+003,-1.08294558273e+002
+4.47881156235e+003,-1.07979855039e+002
+4.55947384417e+003,-1.09028826087e+002
+4.64158883361e+003,-1.09089656188e+002
+4.72518269359e+003,-1.08958756117e+002
+4.81028205818e+003,-1.08199817318e+002
+4.89691404115e+003,-1.08349508412e+002
+4.98510624459e+003,-1.09140128983e+002
+5.07488676766e+003,-1.09480258668e+002
+5.16628421561e+003,-1.09678833717e+002
+5.25932770886e+003,-1.10146660792e+002
+5.35404689227e+003,-1.09193764289e+002
+5.45047194461e+003,-1.08560602216e+002
+5.54863358815e+003,-1.08473350091e+002
+5.64856309846e+003,-1.09481755188e+002
+5.75029231439e+003,-1.09585410419e+002
+5.85385364818e+003,-1.09427051058e+002
+5.95928009583e+003,-1.09313317037e+002
+6.06660524757e+003,-1.10231123735e+002
+6.17586329859e+003,-1.09449422170e+002
+6.28708905992e+003,-1.10559951641e+002
+6.40031796953e+003,-1.10814693667e+002
+6.51558610364e+003,-1.10910536031e+002
+6.63293018816e+003,-1.10640004213e+002
+6.75238761044e+003,-1.10637787136e+002
+6.87399643118e+003,-1.10481987662e+002
+6.99779539652e+003,-1.09816335709e+002
+7.12382395042e+003,-1.11073400339e+002
+7.25212224722e+003,-1.11886375266e+002
+7.38273116442e+003,-1.11257089201e+002
+7.51569231572e+003,-1.10380682853e+002
+7.65104806427e+003,-1.11535072045e+002
+7.78884153618e+003,-1.10949366517e+002
+7.92911663423e+003,-1.10876885469e+002
+8.07191805189e+003,-1.11516026361e+002
+8.21729128755e+003,-1.12437228114e+002
+8.36528265901e+003,-1.11907919505e+002
+8.51593931825e+003,-1.12987598351e+002
+8.66930926644e+003,-1.13371265063e+002
+8.82544136923e+003,-1.12762670843e+002
+8.98438537235e+003,-1.12893714508e+002
+9.14619191741e+003,-1.13574498911e+002
+9.31091255809e+003,-1.12751957940e+002
+9.47859977652e+003,-1.13889687240e+002
+9.64930700003e+003,-1.14714224304e+002
+9.82308861817e+003,-1.15589965254e+002
+1.00000000000e+004,-1.13707983859e+002
+1.01800975118e+004,-1.15544152452e+002
+1.03634385350e+004,-1.15815333538e+002
+1.05500814844e+004,-1.15785159630e+002
+1.07400858268e+004,-1.16490286744e+002
+1.09335121002e+004,-1.16608527249e+002
+1.11304219327e+004,-1.17845914984e+002
+1.13308780622e+004,-1.17298136216e+002
+1.15349443568e+004,-1.18306380463e+002
+1.17426858345e+004,-1.19495186424e+002
+1.19541686846e+004,-1.19516154441e+002
+1.21694602882e+004,-1.21059383912e+002
+1.23886292399e+004,-1.21351916791e+002
+1.26117453700e+004,-1.21692999613e+002
+1.28388797661e+004,-1.22622508696e+002
+1.30701047961e+004,-1.23452192466e+002
+1.33054941314e+004,-1.23554491944e+002
+1.35451227700e+004,-1.24134631163e+002
+1.37890670608e+004,-1.24882159651e+002
+1.40374047276e+004,-1.25534675837e+002
+1.42902148939e+004,-1.26119722689e+002
+1.45475781085e+004,-1.26070304861e+002
+1.48095763705e+004,-1.26095982726e+002
+1.50762931560e+004,-1.26392616123e+002
+1.53478134445e+004,-1.27129979828e+002
+1.56242237458e+004,-1.28120117907e+002
+1.59056121278e+004,-1.28329195215e+002
+1.61920682446e+004,-1.28579979938e+002
+1.64836833648e+004,-1.28714205079e+002
+1.67805504007e+004,-1.28440413280e+002
+1.70827639381e+004,-1.28624573290e+002
+1.73904202661e+004,-1.28686465846e+002
+1.77036174080e+004,-1.29082629438e+002
+1.80224551525e+004,-1.28971275464e+002
+1.83470350855e+004,-1.28993935032e+002
+1.86774606222e+004,-1.29473569415e+002
+1.90138370407e+004,-1.29158849526e+002
+1.93562715148e+004,-1.29158670874e+002
+1.97048731486e+004,-1.29540715385e+002
+2.00597530110e+004,-1.28536439935e+002
+2.04210241715e+004,-1.30171028363e+002
+2.07888017356e+004,-1.30038043606e+002
+2.11632028822e+004,-1.30636385006e+002
+2.15443469003e+004,-1.31395648750e+002
+2.19323552273e+004,-1.30743643911e+002
+2.23273514878e+004,-1.30861976898e+002
+2.27294615326e+004,-1.31277978862e+002
+2.31388134792e+004,-1.31300236591e+002
+2.35555377526e+004,-1.31499702138e+002
+2.39797671264e+004,-1.31708799808e+002
+2.44116367658e+004,-1.31564268345e+002
+2.48512842698e+004,-1.31527575203e+002
+2.52988497160e+004,-1.32761443674e+002
+2.57544757045e+004,-1.31800007695e+002
+2.62183074038e+004,-1.32351086061e+002
+2.66904925965e+004,-1.31830114491e+002
+2.71711817270e+004,-1.32343891523e+002
+2.76605279492e+004,-1.33113288362e+002
+2.81586871751e+004,-1.32694115636e+002
+2.86658181246e+004,-1.33251110246e+002
+2.91820823764e+004,-1.32755966837e+002
+2.97076444190e+004,-1.33121571016e+002
+3.02426717031e+004,-1.33752775388e+002
+3.07873346955e+004,-1.33445366037e+002
+3.13418069329e+004,-1.33867085251e+002
+3.19062650773e+004,-1.34818299213e+002
+3.24808889724e+004,-1.33758352719e+002
+3.30658617009e+004,-1.33734550564e+002
+3.36613696427e+004,-1.33991831833e+002
+3.42676025343e+004,-1.34327313891e+002
+3.48847535295e+004,-1.33800994839e+002
+3.55130192606e+004,-1.34301576468e+002
+3.61525999011e+004,-1.34525236021e+002
+3.68036992298e+004,-1.34527020805e+002
+3.74665246955e+004,-1.35299563891e+002
+3.81412874828e+004,-1.34363679608e+002
+3.88282025801e+004,-1.34647585049e+002
+3.95274888473e+004,-1.35874418288e+002
+4.02393690862e+004,-1.34799260679e+002
+4.09640701111e+004,-1.34983387123e+002
+4.17018228212e+004,-1.35170556502e+002
+4.24528622739e+004,-1.35297070426e+002
+4.32174277604e+004,-1.12864087778e+002
+4.39957628810e+004,-1.20699518793e+002
+4.47881156235e+004,-1.35442160257e+002
+4.55947384417e+004,-1.35451024436e+002
+4.64158883361e+004,-1.36144468329e+002
+4.72518269359e+004,-1.34857329990e+002
+4.81028205818e+004,-1.35928595948e+002
+4.89691404115e+004,-1.35757610863e+002
+4.98510624459e+004,-1.35962785233e+002
+5.07488676766e+004,-1.35365310659e+002
+5.16628421561e+004,-1.36172314401e+002
+5.25932770886e+004,-1.36285982011e+002
+5.35404689227e+004,-1.35933786110e+002
+5.45047194461e+004,-1.36135932516e+002
+5.54863358815e+004,-1.36893037667e+002
+5.64856309846e+004,-1.36720482134e+002
+5.75029231439e+004,-1.37216665263e+002
+5.85385364818e+004,-1.36857668220e+002
+5.95928009583e+004,-1.36522848203e+002
+6.06660524757e+004,-1.36573764448e+002
+6.17586329859e+004,-1.37548712603e+002
+6.28708905992e+004,-1.36503037535e+002
+6.40031796953e+004,-1.36067355900e+002
+6.51558610364e+004,-1.37161439359e+002
+6.63293018816e+004,-1.37144933835e+002
+6.75238761044e+004,-1.37579406408e+002
+6.87399643118e+004,-1.37426410846e+002
+6.99779539652e+004,-1.37599074290e+002
+7.12382395042e+004,-1.37475929364e+002
+7.25212224722e+004,-1.37305279163e+002
+7.38273116442e+004,-1.38283412574e+002
+7.51569231572e+004,-1.37072002781e+002
+7.65104806427e+004,-1.37525293704e+002
+7.78884153618e+004,-1.37536275406e+002
+7.92911663423e+004,-1.38516448600e+002
+8.07191805189e+004,-1.37875158808e+002
+8.21729128755e+004,-1.37953442132e+002
+8.36528265901e+004,-1.38398072251e+002
+8.51593931825e+004,-1.38123721426e+002
+8.66930926644e+004,-1.28441272363e+002
+8.82544136923e+004,-1.38470519557e+002
+8.98438537235e+004,-1.38925941356e+002
+9.14619191741e+004,-1.38053191979e+002
+9.31091255809e+004,-1.38286158622e+002
+9.47859977652e+004,-1.39042948191e+002
+9.64930700003e+004,-1.38384827861e+002
+9.82308861817e+004,-1.38710182626e+002
+1.00000000000e+005,-1.40204976382e+002
+1.01800975118e+005,-1.40437020764e+002
+1.03634385350e+005,-1.41171489894e+002
+1.05500814844e+005,-1.41525283181e+002
+1.07400858268e+005,-1.41536241437e+002
+1.09335121002e+005,-1.40481721679e+002
+1.11304219327e+005,-1.41325166407e+002
+1.13308780622e+005,-1.41719100896e+002
